photo_id,photo_date,photo_lat,photo_lon,predicted_class
457243271,2025-06-15,55.799808,49.105914,1
457243270,2025-06-15,55.799808,49.105914,3
457239062,2025-06-15,55.799613,49.106802,4
457239093,2025-06-15,55.799318,49.105789,5
457239091,2025-06-15,55.799318,49.105789,1
456239124,2025-06-13,55.799207,49.106782,5
457247275,2025-06-12,55.799507,49.105498,4
457247199,2025-06-12,55.799612,49.105512,3
457247200,2025-06-12,55.799612,49.105512,2
457239208,2025-06-12,55.799808,49.105914,6
457239750,2025-05-13,55.826315,48.896987,3
457266031,2025-06-06,,,6
457266030,2025-06-05,55.791505,49.122226,2
457257341,2025-05-27,55.791099,49.122206,4
457257340,2025-05-27,55.791099,49.122206,1
457240399,2025-05-12,55.791007,49.122288,6
457286134,2025-05-03,55.791104,49.12208,7
457286133,2025-05-03,55.791309,49.121823,3
457258166,2025-05-01,55.79091,49.122496,6
457239867,2025-05-07,55.791907,49.119728,1
457239866,2025-05-07,55.791919,49.120297,6
457239865,2025-05-07,55.791919,49.120297,2
457246018,2025-05-04,55.792107,49.120478,7
457246017,2025-05-04,55.792304,49.120409,2
457286131,2025-05-03,55.791717,49.120491,2
457286130,2025-05-03,55.792004,49.120402,5
457286129,2025-05-03,55.792109,49.120415,5
457258167,2025-05-01,55.791709,49.120679,2
457246740,2025-04-25,55.791906,49.1202,1
457242343,2025-05-30,55.796902,49.121785,7
457242340,2025-05-30,55.796813,49.121805,5
457242339,2025-05-30,55.796813,49.121805,4
457286029,2025-03-27,55.796602,49.122187,3
457286030,2025-03-27,55.796602,49.122187,5
457286031,2025-03-27,55.796602,49.122187,6
457286032,2025-03-27,55.796499,49.122111,4
457240195,2025-03-09,55.796596,49.121903,1
457240194,2025-03-09,55.796596,49.121903,1
457239158,2025-01-31,55.796297,49.122305,5
457241286,2025-05-27,55.795212,49.139006,6
457248625,2025-05-20,55.795302,49.139395,7
457248624,2025-05-20,55.795302,49.139395,5
457248626,2025-05-20,55.795413,49.139283,3
457250096,2025-05-19,55.795324,49.139303,7
457250095,2025-05-19,55.795399,49.139187,4
457250094,2025-05-19,55.795505,49.139201,5
457250093,2025-05-19,55.795505,49.139201,7
457250092,2025-05-19,55.795911,49.139221,7
457250091,2025-05-19,55.795916,49.139096,5
456239018,2025-02-07,55.79415,49.142048,2
457239071,2024-12-09,55.794212,49.142717,7
457287114,2024-08-16,55.794104,49.141885,4
457239765,2025-05-07,55.793105,49.148586,2
456239711,2025-04-15,55.793105,49.148586,2
